iter	Passed	Remaining
0	1	180
1	3	162
2	4	158
3	6	150
4	7	151
5	9	147
6	10	145
7	12	143
8	14	141
9	15	138
10	16	136
11	18	133
12	19	131
13	21	130
14	22	129
15	24	128
16	25	126
17	27	125
18	29	125
19	31	124
20	33	124
21	35	124
22	37	123
23	38	122
24	40	120
25	42	119
26	43	117
27	45	116
28	46	114
29	48	112
30	50	111
31	51	109
32	53	107
33	54	106
34	56	104
35	57	102
36	59	101
37	61	99
38	62	97
39	63	95
40	65	94
41	66	91
42	67	89
43	69	87
44	70	86
45	72	84
46	74	83
47	75	81
48	76	80
49	78	78
50	79	76
51	81	75
52	82	73
53	84	71
54	85	69
55	86	67
56	87	66
57	89	64
58	90	62
59	91	61
60	92	59
61	94	57
62	95	55
63	96	54
64	97	52
65	99	51
66	101	50
67	103	48
68	105	47
69	107	46
70	109	44
71	111	43
72	112	41
73	114	40
74	116	38
75	118	37
76	120	35
77	121	34
78	123	32
79	124	31
80	125	29
81	126	27
82	128	26
83	129	24
84	131	23
85	132	21
86	133	19
87	134	18
88	136	16
89	137	15
90	138	13
91	139	12
92	141	10
93	142	9
94	143	7
95	145	6
96	146	4
97	147	3
98	149	1
99	150	0
