iter	Passed	Remaining
0	125	125147
1	127	63554
2	129	42895
3	130	32502
4	131	26254
5	133	22152
6	135	19202
7	136	16967
8	138	15248
9	140	13902
10	142	12839
11	144	11893
12	146	11104
13	148	10446
14	149	9845
15	151	9312
16	152	8843
17	154	8440
18	156	8080
19	158	7748
20	159	7442
21	161	7164
22	162	6920
23	164	6692
24	166	6475
25	167	6278
26	169	6111
27	171	5950
28	173	5795
29	174	5650
30	176	5508
31	177	5374
32	179	5250
33	180	5140
34	182	5040
35	184	4938
36	186	4842
37	187	4753
38	189	4667
39	191	4591
40	192	4512
41	194	4437
42	196	4381
43	198	4322
44	200	4254
45	202	4193
46	203	4131
47	205	4070
48	207	4018
49	208	3963
50	210	3915
51	212	3875
52	214	3828
53	215	3781
54	217	3733
55	218	3685
56	220	3639
57	221	3596
58	223	3557
59	224	3524
60	226	3490
61	228	3454
62	229	3418
63	231	3387
64	233	3352
65	234	3317
66	235	3283
67	237	3250
68	238	3223
69	240	3197
70	242	3169
71	243	3140
72	245	3113
73	246	3087
74	248	3061
75	249	3035
76	251	3008
77	252	2987
78	254	2966
79	256	2945
80	257	2923
81	259	2900
82	259	2870
83	261	2848
84	262	2828
85	264	2808
86	265	2789
87	267	2773
88	269	2756
89	270	2738
90	272	2720
91	274	2704
92	275	2687
93	277	2670
94	278	2651
95	279	2634
96	281	2624
97	283	2608
98	284	2593
99	286	2576
100	287	2560
101	289	2545
102	290	2529
103	292	2516
104	293	2502
105	295	2488
106	296	2477
107	298	2463
108	299	2450
109	301	2438
110	302	2425
111	304	2411
112	305	2399
113	307	2387
114	308	2376
115	310	2366
116	312	2355
117	313	2343
118	314	2329
119	315	2316
120	317	2304
121	318	2289
122	319	2276
123	320	2265
124	321	2253
125	323	2241
126	323	2227
127	325	2219
128	327	2211
129	328	2200
130	330	2189
131	331	2177
132	332	2166
133	333	2154
134	334	2145
135	336	2134
136	337	2124
137	338	2113
138	339	2105
139	341	2095
140	342	2085
141	343	2074
142	344	2065
143	345	2055
144	346	2045
145	348	2035
146	349	2026
147	350	2017
148	351	2008
149	353	2002
150	354	1995
151	356	1989
152	357	1980
153	359	1972
154	360	1964
155	361	1957
156	362	1948
157	364	1939
158	365	1932
159	366	1923
160	367	1914
161	369	1912
162	371	1905
163	372	1898
164	373	1892
165	375	1886
166	377	1881
167	378	1874
168	380	1869
169	382	1869
170	384	1864
171	386	1859
172	387	1853
173	389	1848
174	390	1841
175	392	1836
176	393	1829
177	394	1823
178	396	1816
179	398	1813
180	399	1807
181	400	1801
182	402	1795
183	404	1793
184	405	1788
185	407	1781
186	408	1775
187	409	1770
188	411	1765
189	413	1762
190	415	1759
191	417	1756
192	419	1752
193	420	1748
194	422	1744
195	424	1740
196	426	1738
197	428	1736
198	430	1733
199	432	1729
200	433	1724
201	435	1719
202	436	1714
203	438	1709
204	440	1707
205	442	1707
206	445	1706
207	447	1703
208	449	1699
209	450	1695
210	452	1693
211	457	1701
212	459	1699
213	462	1698
214	463	1693
215	465	1688
216	466	1684
217	468	1679
218	470	1677
219	472	1675
220	475	1674
221	476	1671
222	478	1666
223	479	1662
224	481	1658
225	483	1654
226	485	1654
227	488	1653
228	490	1650
229	492	1648
230	494	1647
231	496	1643
232	498	1641
233	502	1644
234	504	1642
235	506	1640
236	508	1636
237	509	1632
238	511	1628
239	513	1627
240	515	1624
241	518	1623
242	519	1619
243	521	1615
244	523	1612
245	525	1609
246	527	1607
247	529	1605
248	531	1601
249	532	1598
250	534	1594
251	535	1590
252	537	1585
253	538	1581
254	540	1578
255	542	1575
256	544	1573
257	546	1571
258	547	1567
259	549	1563
260	551	1560
261	552	1556
262	554	1552
263	556	1551
264	558	1549
265	560	1546
266	561	1542
267	563	1538
268	565	1536
269	566	1532
